artist,fun_fact,hometown,monthly_listeners
Neon Echo,"Started producing in their college dorm room, using only a broken synth and a laptop.",Seattle,1200000
LoRoom,"Actually a duo of brothers who only record music between 2 AM and 4 AM.",Kyoto,850000
Voltline,"The lead guitarist is a former electrical engineer who builds all of their own pedals.",London,500000
Paper Lanterns,"Uses field recordings of actual rainstorms from around the world in every track.",Portland,300000
Max Pulse,"A certified personal trainer who tests all tracks in their own spin classes before releasing.",Miami,2100000
Orbit Bloom,"Partnered with a space agency to broadcast their debut album to a nearby star system.",Berlin,150000
Slow Stereo,"Records all music on vintage analog tape to get that authentic crackle.",New Orleans,400000
Indigo Parade,"They famously refuse to wear shoes during live performances to 'feel the stage'.",Austin,950000
CyberMantra,"A totally anonymous collective; they perform live behind LED masks.",Tokyo,1800000
Timber Strings,"Lives on a working farm and often incorporates barn noises into the background.",Nashville,600000
Beethoven,"Was completely deaf when he composed some of his greatest works, including the 9th Symphony.",Bonn,10000000
DJ Matrix,"Writes all of their beats using pure code in a custom programming language.",San Francisco,3000000
Iron Brigade,"Their drum kit is made entirely out of salvaged motorcycle parts.",Detroit,450000
Luna Vibes,"Writes most of their songs while stargazing in the desert.",Phoenix,750000
Acoustic Soul,"Started as a busker in the subway and got discovered by a major label executive.",New York,1100000
Void Walkers,"All their song titles are named after real exoplanets.",Reykjavik,200000
